,FEDFUNDS,CPI
2010-01-01,0.11,217.488
2010-02-01,0.13,217.281
2010-03-01,0.16,217.353
2010-04-01,0.2,217.403
2010-05-01,0.2,217.29
2010-06-01,0.18,217.199
2010-07-01,0.18,217.605
2010-08-01,0.19,217.923
2010-09-01,0.19,218.275
2010-10-01,0.19,219.035
2010-11-01,0.19,219.59
2010-12-01,0.18,220.472
2011-01-01,0.17,221.187
2011-02-01,0.16,221.898
2011-03-01,0.14,223.046
2011-04-01,0.1,224.093
2011-05-01,0.09,224.806
2011-06-01,0.09,224.806
2011-07-01,0.07,225.395
2011-08-01,0.1,226.106
2011-09-01,0.08,226.597
2011-10-01,0.07,226.75
2011-11-01,0.08,227.169
2011-12-01,0.07,227.223
2012-01-01,0.08,227.842
2012-02-01,0.1,228.329
2012-03-01,0.13,228.807
2012-04-01,0.14,229.187
2012-05-01,0.16,228.713
2012-06-01,0.16,228.524
2012-07-01,0.16,228.59
2012-08-01,0.13,229.918
2012-09-01,0.14,231.015
2012-10-01,0.16,231.638
2012-11-01,0.16,231.249
2012-12-01,0.16,231.221
2013-01-01,0.14,231.679
2013-02-01,0.15,232.937
2013-03-01,0.14,232.282
2013-04-01,0.15,231.797
2013-05-01,0.11,231.893
2013-06-01,0.09,232.445
2013-07-01,0.09,232.9
2013-08-01,0.08,233.456
2013-09-01,0.08,233.544
2013-10-01,0.09,233.669
2013-11-01,0.08,234.1
2013-12-01,0.09,234.719
2014-01-01,0.07,235.288
2014-02-01,0.07,235.547
2014-03-01,0.08,236.028
2014-04-01,0.09,236.468
2014-05-01,0.09,236.918
2014-06-01,0.1,237.231
2014-07-01,0.09,237.498
2014-08-01,0.09,237.46
2014-09-01,0.09,237.477
2014-10-01,0.09,237.43
2014-11-01,0.09,236.983
2014-12-01,0.12,236.252
2015-01-01,0.11,234.747
2015-02-01,0.11,235.342
2015-03-01,0.11,235.976
2015-04-01,0.12,236.222
2015-05-01,0.12,237.001
2015-06-01,0.13,237.657
2015-07-01,0.13,238.034
2015-08-01,0.14,238.033
2015-09-01,0.14,237.498
2015-10-01,0.12,237.733
2015-11-01,0.12,238.017
2015-12-01,0.24,237.761
2016-01-01,0.34,237.652
2016-02-01,0.38,237.336
2016-03-01,0.36,238.08
2016-04-01,0.37,238.992
2016-05-01,0.37,239.557
2016-06-01,0.38,240.222
2016-07-01,0.39,240.101
2016-08-01,0.4,240.545
2016-09-01,0.4,241.176
2016-10-01,0.4,241.741
2016-11-01,0.41,242.026
2016-12-01,0.54,242.637
2017-01-01,0.65,243.618
2017-02-01,0.66,244.006
2017-03-01,0.79,243.892
2017-04-01,0.9,244.193
2017-05-01,0.91,244.004
2017-06-01,1.04,244.163
2017-07-01,1.15,244.243
2017-08-01,1.16,245.183
2017-09-01,1.15,246.435
2017-10-01,1.15,246.626
2017-11-01,1.16,247.284
2017-12-01,1.3,247.805
2018-01-01,1.41,248.859
2018-02-01,1.42,249.529
2018-03-01,1.51,249.577
2018-04-01,1.69,250.227
2018-05-01,1.7,250.792
2018-06-01,1.82,251.018
2018-07-01,1.91,251.214
2018-08-01,1.91,251.663
2018-09-01,1.95,252.182
2018-10-01,2.19,252.772
2018-11-01,2.2,252.594
2018-12-01,2.27,252.767
2019-01-01,2.4,252.561
2019-02-01,2.4,253.319
2019-03-01,2.41,254.277
2019-04-01,2.42,255.233
2019-05-01,2.39,255.296
2019-06-01,2.38,255.213
2019-07-01,2.4,255.802
2019-08-01,2.13,256.036
2019-09-01,2.04,256.43
2019-10-01,1.83,257.155
2019-11-01,1.55,257.879
2019-12-01,1.55,258.63
2020-01-01,1.55,259.127
2020-02-01,1.58,259.25
2020-03-01,0.65,258.076
2020-04-01,0.05,256.032
2020-05-01,0.05,255.802
2020-06-01,0.08,257.042
2020-07-01,0.09,258.352
2020-08-01,0.1,259.316
2020-09-01,0.09,259.997
2020-10-01,0.09,260.319
2020-11-01,0.09,260.911
2020-12-01,0.09,262.045
2021-01-01,0.09,262.639
2021-02-01,0.08,263.573
2021-03-01,0.07,264.847
2021-04-01,0.07,266.625
2021-05-01,0.06,268.404
2021-06-01,0.08,270.71
2021-07-01,0.1,271.965
2021-08-01,0.09,272.752
2021-09-01,0.08,273.942
2021-10-01,0.08,276.528
2021-11-01,0.08,278.824
2021-12-01,0.08,280.806
2022-01-01,0.08,282.542
2022-02-01,0.08,284.525
2022-03-01,0.2,287.467
2022-04-01,0.33,288.582
2022-05-01,0.77,291.299
2022-06-01,1.21,295.072
2022-07-01,1.68,294.94
2022-08-01,2.33,295.162
2022-09-01,2.56,296.421
2022-10-01,3.08,297.979
2022-11-01,3.78,298.708
2022-12-01,4.1,298.808
2023-01-01,4.33,300.456
2023-02-01,4.57,301.476
2023-03-01,4.65,301.643
2023-04-01,4.83,302.858
2023-05-01,5.06,303.316
2023-06-01,5.08,304.099
2023-07-01,5.12,304.615
2023-08-01,5.33,306.138
2023-09-01,5.33,307.374
2023-10-01,5.33,307.653
2023-11-01,5.33,308.087
2023-12-01,5.33,308.735
