Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-01-03,1469.25,1478.0,1438.3599853515625,1455.219970703125,931800000,0.0,0.0,,,,0,,,,0,1382.4589721679688,0.03,,,
2000-01-04,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1009000000,0.0,0.0,,,,0,,,,0,1329.4490417480467,0.03,-0.03834466807849768,-0.0,
2000-01-05,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1085500000,0.0,0.0,,,,0,,,,0,1332.0044860839844,0.03,0.0019221829913671495,0.0,
2000-01-06,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1092300000,0.0,0.0,,,,0,,,,0,1333.2774536132813,0.03,0.0009556781096431433,0.0,
2000-01-07,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1225200000,0.0,0.0,,,,0,,,,0,1369.3964721679688,0.03,0.027090399268961063,0.0,
2000-01-10,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1064800000,0.0,0.0,,,,0,,,,0,1384.7199768066405,0.03,0.011189969413615053,0.0,
2000-01-11,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1014000000,0.0,0.0,,,,0,,,,0,1366.6320556640624,0.03,-0.013062511876438365,-0.0,
2000-01-12,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,974600000,0.0,0.0,,,,0,,,,0,1360.6375,0.03,-0.004386371327394056,-0.0,
2000-01-13,1432.25,1454.199951171875,1432.25,1449.6800537109375,1030400000,0.0,0.0,,,,0,,,,0,1377.1960510253905,0.03,0.012169700618563484,0.0,
2000-01-14,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1085900000,0.0,0.0,,,,0,,,,0,1391.8925231933592,0.03,0.010671299962722536,0.0,
